Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
Winnebago Industries acquires Grand Design RV,Grand Design RV,Winnebago Industries,10/03/2016,"$500,000,000"
Tamedia acquires Forum Executive,Forum Executive,Tamedia,10/01/2016,
Pet Anjo acquires PetHub.com.br,PetHub.com.br,Pet Anjo,09/20/2016,
Samsung Electronics acquires Viv,Viv,Samsung Electronics,10/05/2016,
Ubisoft acquires Ketchapp,Ketchapp,Ubisoft,09/27/2016,
Zahalo acquires DNA Response,DNA Response,Zahalo,09/26/2016,
Shavekit acquires Close Shave Society,Close Shave Society,Shavekit,09/22/2016,
CA Technologies acquires BlazeMeter,BlazeMeter,CA Technologies,09/20/2016,
Welcome Italia acquires Qboxmail,Qboxmail,Welcome Italia,09/21/2016,
Bellrock Property & Facilities Management acquires RBK Mechanical,RBK Mechanical,Bellrock Property & Facilities Management,09/16/2016,
Altair Engineering acquires Solid Iris Technologies,Solid Iris Technologies,Altair Engineering,09/14/2016,
Katalyst Partners (KPI) acquires Donor Point Marketing,Donor Point Marketing,Katalyst Partners (KPI),09/01/2016,
Ant Financial acquires EyeVerify,EyeVerify,Ant Financial,09/13/2016,
Hansa Cequity acquires InLoyal,InLoyal,Hansa Cequity,09/01/2016,
Salesforce acquires Spree Commerce,Spree Commerce,Salesforce,09/01/2016,
Xurpas acquires Art of Click,Art of Click,Xurpas,10/06/2016,"$45,000,000"
SAP acquires Altiscale,Altiscale,SAP,08/25/2016,"$125,000,000"
MAX - Metro Africa Express acquires Easy Appetite,Easy Appetite,MAX - Metro Africa Express,09/29/2016,
Instamek acquires WrenchPatrol,WrenchPatrol,Instamek,08/31/2016,
Camuto Group acquires Sole Society,Sole Society,Camuto Group,08/23/2016,
AdCityMedia acquires All In Media Sweden,All In Media Sweden,AdCityMedia,08/31/2016,"kr7,500,000"
TerraPay acquires Pay2Global,Pay2Global,TerraPay,08/29/2016,
InfoVista acquires Ascom Network Testing,Ascom Network Testing,InfoVista,08/22/2016,"$45,000,000"
Airbnb acquires Trip4real,Trip4real,Airbnb,09/19/2016,
Cirrus Logic acquires ShareWave,ShareWave,Cirrus Logic,07/19/2001,"$92,000,000"
Ingenuity acquires County Apps,County Apps,Ingenuity,09/16/2016,
Canon acquires Lifecake,Lifecake,Canon,04/23/2015,
Enterprise Investors acquires Intersport ISI,Intersport ISI,Enterprise Investors,09/14/2016,"€34,500,000"
Cisco acquires Metacloud,Metacloud,Cisco,09/17/2014,
Glispa Global Group acquires avocarrot,avocarrot,Glispa Global Group,09/13/2016,"$20,000,000"
Funding Circle acquires Endurance Lending Network,Endurance Lending Network,Funding Circle,10/25/2013,
Future Publishing acquires NextCommerce,NextCommerce,Future Publishing,08/16/2016,
Sailing Capital acquires Astrum Education,Astrum Education,Sailing Capital,09/18/2016,
"Alimentation Couche-Tard, Inc. acquires CST Brands",CST Brands,"Alimentation Couche-Tard, Inc.",08/22/2016,"$4,400,000,000"
Altavia acquires Stylum,Stylum,Altavia,09/05/2016,
Advice Interactive Group acquires Scanther.com,Scanther.com,Advice Interactive Group,08/30/2016,
ShaveMOB acquires 800razors,800razors,ShaveMOB,08/30/2016,
