Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
BRIKA acquires Sonder Mill,Sonder Mill,BRIKA,09/29/2016,
Akamai Technologies acquires Concord Systems,Concord Systems,Akamai Technologies,09/28/2016,
Mountain Partners acquires Qeerad,Qeerad,Mountain Partners,10/06/2016,
Mirantis acquires TCP Cloud,TCP Cloud,Mirantis,09/15/2016,
NIIT acquires Perceptron Learning Solutions,Perceptron Learning Solutions,NIIT,09/27/2016,
Go-Jek acquires Pianta,Pianta,Go-Jek,09/27/2016,
Zomato acquires Sparse Labs Pvt Ltd.,Sparse Labs Pvt Ltd.,Zomato,09/26/2016,
Trybeca acquires Pipes App,Pipes App,Trybeca,09/21/2016,
KCD PR acquires Wall & Broadway,Wall & Broadway,KCD PR,09/19/2016,
PT. NorthCliff Indonesia acquires RoomToday,RoomToday,PT. NorthCliff Indonesia,09/19/2016,
BigRep acquires NOWlab,NOWlab,BigRep,09/20/2016,
Parallax Health Sciences acquires Qolpom,Qolpom,Parallax Health Sciences,09/14/2016,
Crescita Therapeutics acquires INTEGA Skin Sciences,INTEGA Skin Sciences,Crescita Therapeutics,09/01/2016,
MosChip Semiconductor acquires ElitePLUS Semiconductor Technologies,ElitePLUS Semiconductor Technologies,MosChip Semiconductor,09/12/2016,
One More Company acquires Evercontact,Evercontact,One More Company,08/30/2016,
Common acquires Skylight,Skylight,Common,09/07/2016,
Grow Fit acquires Drink King,Drink King,Grow Fit,09/07/2016,
Toluna acquires Crossense,Crossense,Toluna,09/07/2016,
Groupmatics acquires Prototype1,Prototype1,Groupmatics,10/06/2016,
Spire Technologies acquires DormBooker,DormBooker,Spire Technologies,10/05/2016,
Schoolzilla acquires Decision Science Labs,Decision Science Labs,Schoolzilla,10/05/2016,
Foxtel Australia Pty Ltd acquires Presto TV Pty Limited,Presto TV Pty Limited,Foxtel Australia Pty Ltd,10/05/2016,
Capillary Technologies acquires Sellerworx,Sellerworx,Capillary Technologies,10/04/2016,
Satoshi Citadel Industries acquires Keza,Keza,Satoshi Citadel Industries,08/26/2016,
Ve Interactive acquires OPTOMATON,OPTOMATON,Ve Interactive,09/01/2016,"€5,130,000"
Hooch acquires Tipsy LLC,Tipsy LLC,Hooch,08/25/2016,
Quikr acquires ZapLuk,ZapLuk,Quikr,08/24/2016,
Voonik acquires Dekkoh,Dekkoh,Voonik,09/02/2016,
One Energy acquires Cancalia Engineering & Consulting,Cancalia Engineering & Consulting,One Energy,09/27/2016,
Equilibrium acquires Polygon Digital Marketing,Polygon Digital Marketing,Equilibrium,08/24/2016,
NextCleaners acquires Boomerang NYC,Boomerang NYC,NextCleaners,08/24/2016,
Box acquires Wagon,Wagon,Box,08/31/2016,
Looklive acquires Curateurs,Curateurs,Looklive,09/01/2016,
Shiftgig acquires BookedOut,BookedOut,Shiftgig,09/23/2016,
J.C. Flowers & Co. acquires ELMC Group,ELMC Group,J.C. Flowers & Co.,09/22/2016,
HeadsUp Entertainment International acquires FANLOGIC,FANLOGIC,HeadsUp Entertainment International,09/23/2016,
U-Feast Corporation acquires Pass The Table,Pass The Table,U-Feast Corporation,09/23/2016,
Echos Brand Communications acquires MELD Strategy + Communications,MELD Strategy + Communications,Echos Brand Communications,09/23/2016,
Nucleus acquires Insensi,Insensi,Nucleus,09/21/2016,
engage:BDR acquires mydiveo,mydiveo,engage:BDR,08/29/2016,"$7,400,000"
Allergan acquires Akarna Therapeutics,Akarna Therapeutics,Allergan,09/20/2016,
Amazon acquires Angel.ai,Angel.ai,Amazon,09/20/2016,
Facebook acquires Nascent Objects Inc,Nascent Objects Inc,Facebook,09/19/2016,
Google acquires Urban Engines,Urban Engines,Google,09/15/2016,
DealBerg Technologies acquires WeAreGadgets,WeAreGadgets,DealBerg Technologies,09/13/2016,
LeEco acquires Dichotomy Creative Group,Dichotomy Creative Group,LeEco,09/14/2016,
BullGuard acquires Dojo Labs,Dojo Labs,BullGuard,08/17/2016,
Richardson Communications and Consulting acquires VARCentric,VARCentric,Richardson Communications and Consulting,09/14/2016,
