Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
Centric Health Corp. acquires CareRx,CareRx,Centric Health Corp.,09/22/2016,"$14,000,000"
Warburg Pincus acquires Ascentium Capital,Ascentium Capital,Warburg Pincus,10/04/2016,
Sharecare acquires BioLucid,BioLucid,Sharecare,09/29/2016,
Google acquires Api.ai,Api.ai,Google,09/19/2016,
Demand Media acquires The Other Art Fair,The Other Art Fair,Demand Media,09/16/2016,
Microgame acquires Active Games,Active Games,Microgame,09/13/2016,
Skyscanner acquires Distinction Ltd.,Distinction Ltd.,Skyscanner,10/22/2014,
"NSi Insurance Group, Inc. acquires KMH Insurance Services",KMH Insurance Services,"NSi Insurance Group, Inc.",09/22/2016,
ERwin acquires Corso Ltd.,Corso Ltd.,ERwin,09/12/2016,
Balt acquires Blockade Medical,Blockade Medical,Balt,09/02/2016,
Project: Worldwide acquires Wondersauce,Wondersauce,Project: Worldwide,10/06/2016,
TuneCore acquires JustGo,JustGo,TuneCore,08/05/2016,
Windjammer Capital Investors acquires Mission Critical Electronics,Mission Critical Electronics,Windjammer Capital Investors,10/05/2016,
Fresenius Medical Care acquires Sparsh Nephrocare,Sparsh Nephrocare,Fresenius Medical Care,09/02/2016,
mVISE AG acquires Just Intelligence,Just Intelligence,mVISE AG,09/29/2016,
Fuchun Communications Co acquires Chengdu Moqikaka Technology Co,Chengdu Moqikaka Technology Co,Fuchun Communications Co,08/31/2016,
Paytm acquires EduKart,EduKart,Paytm,09/26/2016,
FreeHand Systems acquires Sunhawk Digital Music,Sunhawk Digital Music,FreeHand Systems,07/18/2003,"$2,000,000"
elizur acquires Activaided Orthotics,Activaided Orthotics,elizur,09/17/2016,
Inspirata acquires Precision Medicine Network,Precision Medicine Network,Inspirata,09/14/2016,
PayU acquires Citrus Payment Solutions,Citrus Payment Solutions,PayU,09/14/2016,"$130,000,000"
Haydale acquires Innophene,Innophene,Haydale,08/26/2016,
White Deer Energy acquires RockPile Energy Services,RockPile Energy Services,White Deer Energy,09/08/2016,
Digicomp Academy acquires SOMEXCLOUD,SOMEXCLOUD,Digicomp Academy,08/16/2016,
GoDaddy acquires ManageWP,ManageWP,GoDaddy,09/06/2016,
RR Donnelley acquires Precision Dialogue,Precision Dialogue,RR Donnelley,08/21/2016,
Arvind Internet Limited acquires FREECULTR,FREECULTR,Arvind Internet Limited,09/03/2016,
