Transaction Name,Acquired Company Name,Acquiring Company Name,Announced On Date,Price
Akamai Technologies acquires SOHA SYSTEMS,SOHA SYSTEMS,Akamai Technologies,10/04/2016,
CafeMedia acquires AdThrive,AdThrive,CafeMedia,09/29/2016,
McGraw-Hill Education acquires Redbird Advanced Learning,Redbird Advanced Learning,McGraw-Hill Education,09/30/2016,
Akamai Technologies acquires Concord Systems,Concord Systems,Akamai Technologies,09/28/2016,
Sky Tickets acquires Una Tickets,Una Tickets,Sky Tickets,09/23/2016,
Etsy acquires Blackbird Technologies,Blackbird Technologies,Etsy,09/19/2016,
Oracle Corporation acquires Palerra Inc.,Palerra Inc.,Oracle Corporation,09/18/2016,
Mountain Partners acquires Qeerad,Qeerad,Mountain Partners,10/06/2016,
"Event Farm acquires Attend, Inc.","Attend, Inc.",Event Farm,09/15/2016,
Mirantis acquires TCP Cloud,TCP Cloud,Mirantis,09/15/2016,
Liquid Environmental Solutions acquires Carolinas Resource Recovery,Carolinas Resource Recovery,Liquid Environmental Solutions,10/03/2016,
Septeni acquires Lion & Lion,Lion & Lion,Septeni,09/30/2016,
The Ramey Agency acquires Adaptive Marketing Works,Adaptive Marketing Works,The Ramey Agency,09/12/2016,
Ezy Recruitment Solutions acquires Flo Software Solutions,Flo Software Solutions,Ezy Recruitment Solutions,09/26/2016,
Zomato acquires Sparse Labs Pvt Ltd.,Sparse Labs Pvt Ltd.,Zomato,09/26/2016,
Airware acquires Redbird,Redbird,Airware,09/22/2016,
Apple acquires tuplejump,tuplejump,Apple,09/23/2016,
Chicken Soup for the Soul acquires A Plus,A Plus,Chicken Soup for the Soul,09/21/2016,
Webroot acquires CyberFlow Analytics,CyberFlow Analytics,Webroot,09/19/2016,
BigRep acquires NOWlab,NOWlab,BigRep,09/20/2016,
SweetIQ Analytics acquires Connectivity,Connectivity,SweetIQ Analytics,09/15/2016,
Parallax Health Sciences acquires Qolpom,Qolpom,Parallax Health Sciences,09/14/2016,
MosChip Semiconductor acquires Orange Semiconductors,Orange Semiconductors,MosChip Semiconductor,09/12/2016,
MosChip Semiconductor acquires ElitePLUS Semiconductor Technologies,ElitePLUS Semiconductor Technologies,MosChip Semiconductor,09/12/2016,
Fork Media acquires Inuxu Digital Media Technologies,Inuxu Digital Media Technologies,Fork Media,09/12/2016,"$3,000,000"
One More Company acquires Evercontact,Evercontact,One More Company,08/30/2016,
Falcon Minerals acquires Robo 3D,Robo 3D,Falcon Minerals,09/09/2016,
Common acquires Skylight,Skylight,Common,09/07/2016,
Cataca Resources acquires FlitWays,FlitWays,Cataca Resources,09/09/2016,
FemaleDaily Network acquires J-Tech,J-Tech,FemaleDaily Network,09/06/2016,
Spire Technologies acquires DormBooker,DormBooker,Spire Technologies,10/05/2016,
Foxtel Australia Pty Ltd acquires Presto TV Pty Limited,Presto TV Pty Limited,Foxtel Australia Pty Ltd,10/05/2016,
Capillary Technologies acquires Sellerworx,Sellerworx,Capillary Technologies,10/04/2016,
Shopify acquires Boltmade,Boltmade,Shopify,10/03/2016,
Ascential Plc acquires OneClickRetail,OneClickRetail,Ascential Plc,08/25/2016,
One Energy acquires Cancalia Engineering & Consulting,Cancalia Engineering & Consulting,One Energy,09/27/2016,
SMA Alliance acquires WindStax Wind Power Systems,WindStax Wind Power Systems,SMA Alliance,09/26/2016,
GoPro acquires Lumific,Lumific,GoPro,08/31/2015,
NEXTracker acquires BrightBox Technologies,BrightBox Technologies,NEXTracker,08/30/2016,
Shiftgig acquires BookedOut,BookedOut,Shiftgig,09/23/2016,
U-Feast Corporation acquires Pass The Table,Pass The Table,U-Feast Corporation,09/23/2016,
Echos Brand Communications acquires MELD Strategy + Communications,MELD Strategy + Communications,Echos Brand Communications,09/23/2016,
Appsbuyout acquires True Contact,True Contact,Appsbuyout,08/31/2016,
Xpel Technologies Corp. acquires Connectin Europe BV,Connectin Europe BV,Xpel Technologies Corp.,08/29/2016,
Athenahealth acquires Patient IO,Patient IO,Athenahealth,08/29/2016,
Everfest.com acquires Fest300,Fest300,Everfest.com,09/20/2016,
Google acquires Urban Engines,Urban Engines,Google,09/15/2016,
Nutanix acquires Calm.io,Calm.io,Nutanix,08/29/2016,
"John Wiley & Sons, Inc acquires Ranku (ran-koo)",Ranku (ran-koo),"John Wiley & Sons, Inc",09/15/2016,"$25,000,000"
BullGuard acquires Dojo Labs,Dojo Labs,BullGuard,08/17/2016,
1C Company acquires Quick Resto,Quick Resto,1C Company,09/12/2016,
Richardson Communications and Consulting acquires VARCentric,VARCentric,Richardson Communications and Consulting,09/14/2016,
REAN Cloud acquires Opex Software Inc.,Opex Software Inc.,REAN Cloud,08/18/2016,
Performant Solutions acquires Talent Bridge,Talent Bridge,Performant Solutions,08/25/2016,
Glassdoor acquires Love Mondays,Love Mondays,Glassdoor,09/09/2016,
Redstone acquires Connect IB,Connect IB,Redstone,03/28/2016,"£1,320,000,000"
iZettle acquires Intelligent Point of Sale,Intelligent Point of Sale,iZettle,09/06/2016,
Storefront acquires Oui Open,Oui Open,Storefront,09/07/2016,
Just Eat acquires tok tok tok,tok tok tok,Just Eat,09/06/2016,
Mitula Group acquires Dot Property,Dot Property,Mitula Group,09/05/2016,"$11,000,000"
VoxAge acquires Me Atende,Me Atende,VoxAge,08/19/2016,
Scintilla Pharmaceuticals acquires Semnur Pharmaceuticals,Semnur Pharmaceuticals,Scintilla Pharmaceuticals,08/15/2016,
Urban Expositions acquires LeftField Media,LeftField Media,Urban Expositions,08/16/2016,
Rakuten acquires Bitnet Technologies,Bitnet Technologies,Rakuten,08/21/2016,
Clavister acquires PhenixID AB,PhenixID AB,Clavister,08/30/2016,
SonderMind acquires Uvize,Uvize,SonderMind,08/19/2016,
Foxpost acquires WeBox,WeBox,Foxpost,08/19/2016,
Cinema Mobile-CineApp acquires MobyTick,MobyTick,Cinema Mobile-CineApp,08/29/2016,
SBrick acquires Home Cues,Home Cues,SBrick,08/30/2016,"$1,000,000"
Project: Worldwide acquires Praytell,Praytell,Project: Worldwide,08/16/2016,
Waitr acquires Requested,Requested,Waitr,08/26/2016,
Apple acquires Gliimpse,Gliimpse,Apple,08/22/2016,"$200,000,000"
Microsoft acquires Genee,Genee,Microsoft,08/22/2016,
Somoto acquires Meme Global Media Group,Meme Global Media Group,Somoto,08/18/2016,"$13,000,000"
UrbanClap acquires Goodservice,Goodservice,UrbanClap,08/10/2016,
Kwan Entertainment & Marketing Solutions acquires Gigstart,Gigstart,Kwan Entertainment & Marketing Solutions,08/11/2016,
Institutional Shareholder Services acquires iiWisdom,iiWisdom,Institutional Shareholder Services,08/17/2016,
