active,byline,city,currency,description,end_date,funded_amt,funded_pct,headline,state,title,url
1,Jaime Ruiz-Avila,Austin,$,World's first desktop holographic display.  It draws objects in air with light.,2016-11-11,9332.0,20%,Holovect: Holographic Vector Display,TX,Holovect:,https://www.kickstarter.com/projects/2029950924/holovect-holographic-vector-display?ref=category_recommended
1,Chad 'Chadtech' Stearns,Phoenix,$,"CtPaint is web-connected image editing software. Its perfect for pixel art. It can open, edit, and save any image on the web.",2016-11-14,451.0,0%,"CtPaint, the simple paint software missing from the internet",AZ,"CtPaint,",https://www.kickstarter.com/projects/613927423/ctpaint-the-simple-paint-software-missing-from-the?ref=category_recommended
1,Dyslexie Font,Amsterdam,€,"Dyslexie Font makes reading more accessible. Now, introducing 3 new tools to help!",2016-11-21,1599.0,4%,Dyslexie Font: Improving Reading for Dyslexics,North Holland,Dyslexie Font:,https://www.kickstarter.com/projects/479982674/dyslexie-font-improving-reading-for-dyslexics?ref=category_recommended
1,Tony Pearce,Alpine,$,"No more lumpy foam, stabby feathers and melty memory foam. Introducing the Purple® Pillow, the first innovation in pillows since geese.",2016-10-22,1342451.0,5369%,Purple® Pillow: The World's First No-Pressure Head Bed,UT,Purple® Pillow: The World's First No-,https://www.kickstarter.com/projects/227992716/purple-pillow-the-worlds-first-no-pressure-head-be?ref=category_popular
1,ildockgear,Los Angeles,$,"ILDOCK lets you use your wired headphone while charging your iPhone. You can also read SD, TF and USB drive with ILDOCK Plus",2016-10-28,118630.0,2372%,iLDOCK - charge and listen to iPhone 7 at the same time,CA,iLDOCK -,https://www.kickstarter.com/projects/291423994/ildock-charge-and-listen-to-iphone-7-at-the-same-t?ref=category_popular
1,Dlodlo Technology Company,Los Angeles,$,The world's most portable VR Glasses:: Dlodlo V1,2016-11-07,58586.0,29%,Dlodlo V1 | Opening A New World of VR,CA,Dlodlo,https://www.kickstarter.com/projects/203407287/dlodlo-v1-opening-a-new-world-of-vr?ref=category_popular
1,Blinkgogo,New York,$,"Designed for STEM education, Open Source! APP controlled, Arduino, supports Scratch, Bluetooth Upload, Robot. Let kids Play and Learn!",2016-10-27,32105.0,267%,"Blinkgogo: Wireless Programming Arduino, Robot Learn & Play!",NY,"Blinkgogo: Wireless Programming Arduino,",https://www.kickstarter.com/projects/makerstudio/blinkgogo-wireless-arduino-and-fun-robotics-learni?ref=category_location
1,goTenna Team,Brooklyn,$,"Communicate without cell, wifi & satellites using your existing smartphone. Relay messages through other users to extend range!",2016-10-28,421830.0,281%,"goTenna Mesh: Off-Grid, People-Powered Connectivity Anywhere",NY,"goTenna Mesh: Off-Grid, People-",https://www.kickstarter.com/projects/gotenna/gotenna-mesh-off-grid-people-powered-connectivity?ref=category_location
1,WAZER,Bronx,$,Cut any material with digital precision using high pressure water. A compact waterjet for every workshop.,2016-11-11,1398519.0,1398%,The First Desktop Waterjet Cutter,NY,The,https://www.kickstarter.com/projects/1294137530/the-first-desktop-waterjet-cutter?ref=category_location
1,SproutsIO Inc.,Cambridge,$,"Meet SproutsIO, the high performance system that makes growing Personal Produce™ a pleasure. Grow indoors, year-round, soil-free.",2016-10-19,106104.0,106%,SproutsIO: Smart Microgarden,MA,SproutsIO:,https://www.kickstarter.com/projects/451425606/sproutsio-smart-microgarden?ref=category
1,Stephan Electronics,Lausanne,Fr ,"A Small, Portable Hardware Password Keeper to Keep Your Passwords Safe Wherever You Are",2016-11-07,46117.0,92%,Mooltipass Mini - Your Passwords On The Go!,Canton of Vaud,Mooltipass Mini -,https://www.kickstarter.com/projects/limpkin/mooltipass-mini-your-passwords-on-the-go?ref=category
1,Chuck Frizelle,Redmond,$,"World's first bike helmet with open-ear precision audio so cyclists can SAFELY hear traffic along with music, calls, nav, & ride data.",2016-10-24,270488.0,540%,Coros LINX Smart Cycling Helmet: Safely tune in to your ride,WA,Coros LINX Smart Cycling Helmet:,https://www.kickstarter.com/projects/coros/coros-linx-smart-cycling-helmet-safely-tune-in-to?ref=category
1,Timeular,Graz,€,ZEI is a beautiful 8-sided device that makes time tracking instant and fun. Accurately track your activities with a simple flip.,2016-10-26,191079.0,254%,ZEIº - the most simple time tracking solution,Styria,ZEIº -,https://www.kickstarter.com/projects/timeular/zeio-the-most-simple-time-tracking-solution?ref=category
1,BSX Athletics,Austin,$,"LVL is a wearable hydration monitor that gives you the complete picture of your health by also tracking activity, sleep, mood and HR.",2016-10-26,936412.0,1872%,LVL – The First Wearable Hydration Monitor,TX,LVL,https://www.kickstarter.com/projects/lactate-threshold/lvl-the-first-wearable-hydration-monitor?ref=category
1,Arduino,Malmö,kr,"A modular system that lets you create connected devices in minutes, no technical experience required. Hackable with Arduino IDE.",2016-10-28,795862.0,18%,ESLOV IoT Invention Kit,Skane,ESLOV,https://www.kickstarter.com/projects/iot-invention-kit/eslov-iot-invention-kit?ref=category
1,goTenna Team,Brooklyn,$,"Communicate without cell, wifi & satellites using your existing smartphone. Relay messages through other users to extend range!",2016-10-28,421686.0,281%,"goTenna Mesh: Off-Grid, People-Powered Connectivity Anywhere",NY,"goTenna Mesh: Off-Grid, People-",https://www.kickstarter.com/projects/gotenna/gotenna-mesh-off-grid-people-powered-connectivity?ref=category
1,MIOPS,Miami,$,"Leave the control of your camera to your smartphone with dozens of creative modes. Timelapse, Motion, Sound, Vibration, HDR and more.",2016-10-23,124868.0,249%,MIOPS MOBILE: The World's Most Versatile Camera Remote,FL,MIOPS MOBILE:,https://www.kickstarter.com/projects/nerotrigger/miops-mobile-the-worlds-most-versatile-camera-remo?ref=category
1,Lynktec,Chicago,$,Meet the stylus that works like the pencil you grew up with. Flip has the features of an active stylus without Bluetooth or batteries!,2016-11-14,35727.0,476%,Flip! The World’s Most Intuitive Smart Stylus,IL,Flip!,https://www.kickstarter.com/projects/lynktec/flip-the-worlds-most-intuitive-smart-stylus?ref=category
1,Blinkgogo,New York,$,"Designed for STEM education, Open Source! APP controlled, Arduino, supports Scratch, Bluetooth Upload, Robot. Let kids Play and Learn!",2016-10-27,32105.0,267%,"Blinkgogo: Wireless Programming Arduino, Robot Learn & Play!",NY,"Blinkgogo: Wireless Programming Arduino,",https://www.kickstarter.com/projects/makerstudio/blinkgogo-wireless-arduino-and-fun-robotics-learni?ref=category
1,Doodle3D,Utrecht,€,Doodle3D Transform is an app that makes designing in 3D easy and fun! Transform 2D drawings easily to 3D designs for your 3D printer.,2016-10-21,44117.0,88%,Doodle3D Transform: 3D design made easy,Utrecht,Doodle3D Transform:,https://www.kickstarter.com/projects/companje/doodle3d-transform-3d-design-made-easy?ref=category
